id,suit,suivi_par
0,347,0
9,55,2
21,62,3
25,65,4
26,62,6
56,69,9
107,1043,2
348,225,4
353,100,2
363,93,3
366,93,4
370,67,4
373,85,9
374,62,6
391,52,9
395,69,8
686,170,0
694,51,3
698,66,2
705,64,5
896,123,3
897,65,1
906,76,2
916,146,1
917,124,6
921,104,2
925,163,4
927,71,4
932,62,1
934,80,2
941,52,2
942,58,7
946,160,6
947,110,5
952,79,5
953,105,4
957,60,5
960,98,5
966,110,5
967,99,8
978,98,6
980,119,9
982,63,5
983,56,6
995,60,6
997,90,6
999,71,6
1003,90,5
1004,114,6
1009,53,4
1019,52,6
1021,54,7
1024,78,7
1028,58,9
1047,57,8
1049,73,9
1056,57,8
1085,64,2
1465,101,7
1577,161,9
1912,748,7
1916,76,3
1917,189,1
1918,159,2
1919,53,2
1920,119,4
1923,55,1
1925,122,3
1926,131,3
1927,52,3
1929,147,4
1932,88,7
1938,185,4
1939,75,4
1940,88,5
1941,215,8
1943,187,5
1946,183,8
1947,111,9
1951,56,8
1953,118,5
1955,84,8
1962,179,8
1963,81,5
1964,90,6
1966,163,9
1970,66,6
1989,78,9
2661,98,1
2664,82,1
2666,60,1
2669,94,3
2674,68,2
2676,79,4
2679,91,2
2680,51,2
2683,73,5
2689,59,8
2694,86,7
2698,64,5
2706,61,6
2716,89,6
2719,93,7
2724,64,6
2729,57,6
2730,82,7
2741,52,5
2742,109,7
2748,68,7
2778,86,9
3437,542,5
3980,58,1
