id,pagerank
1911,18.276
3434,18.203
2655,17.581
1902,17.427
1888,13.364
2649,12.171
1907,9.99
3971,9.834
2654,9.559
1910,8.149
1894,7.712
3430,7.24
1898,7.231
1882,7.12
3426,7.038
2660,6.987
2642,5.978
3422,5.725
332,5.724
1891,5.677
2653,5.382
3968,5.339
1906,5.134
1897,5.126
1879,5.062
2638,4.947
2643,4.875
2659,4.777
853,4.776
1893,4.752
1844,4.598
2646,4.589
2629,4.413
3433,4.353
3406,4.279
3397,4.275
1903,4.268
2630,4.255
3419,4.155
2631,4.037
1864,3.986
3948,3.864
2617,3.845
3435,3.841
563,3.808
2625,3.694
2644,3.616
3420,3.548
3403,3.509
3967,3.449
2624,3.37
3417,3.258
1899,3.199
2598,3.195
3387,3.188
329,3.157
3412,3.146
3363,3.14
1871,3.121
3394,3.101
3938,3.012
1866,3.005
322,2.985
2611,2.984
1845,2.953
570,2.931
1839,2.924
1876,2.923
1835,2.912
3945,2.911
342,2.883
339,2.878
3360,2.875
3416,2.867
3972,2.852
1827,2.835
3411,2.829
3385,2.794
2628,2.788
3962,2.738
1895,2.687
3396,2.68
1886,2.661
1833,2.626
3966,2.598
1828,2.53
2619,2.526
681,2.51
2616,2.506
346,2.498
1867,2.492
2615,2.481
3366,2.475
2587,2.474
3947,2.457
2610,2.451
1800,2.432
3369,2.419
343,2.398
1885,2.389
