id,label
3558,3591
1084,1205
3702,3672
3007,3277
667,559
1053,107
1894,1824
2493,2344
1325,1187
3517,3968
3877,3968
140,137
204,92
956,107
291,200
1,200
3809,3920
3973,3591
3706,3591
2334,2353
755,774
1813,1205
2335,2371
2506,2353
1393,1205
450,559
2021,2353
160,200
2797,3277
1596,1115
3165,1205
1780,1205
2346,2640
3932,3439
2117,2344
2904,3277
355,559
1500,1070
3449,3968
347,200
548,559
2351,2344
2541,2371
1732,1824
3903,3591
2602,2353
2325,2344
1550,1115
528,559
2938,3107
1716,1115
453,559
2912,3026
1310,1070
1031,1205
2192,2640
2718,3107
1202,1205
196,92
2706,3026
3118,3277
1377,1205
1005,1070
3296,3277
2511,2344
1144,1187
1363,1097
1670,1205
3351,3277
3568,3591
2657,2640
2180,2344
266,92
1344,1205
2235,2344
2239,2344
3191,3277
2618,2371
2909,3026
2787,3277
83,200
2974,3026
988,1115
3270,3277
3918,3708
735,774
1279,1115
1567,1187
3722,3753
2790,3277
1468,1097
3490,3905
836,774
1678,1205
2439,2051
1800,1205
2744,3107
1656,1205
3169,3277
3963,3905
95,95
1641,1205
379,532
2251,2371
436,559
3700,3830
959,1205
2366,2344
259,110
1977,2344
759,774
1906,1070
2070,2371
961,1205
3128,3322
2588,2344
1035,1070
1674,1205
1044,1115
2867,3026
734,774
2398,2344
491,559
2205,2344
4,218
3488,3672
2875,3277
417,559
2555,2344
1300,559
1042,1070
3957,3708
2976,3277
359,559
3499,3591
1947,2344
685,678
152,218
3919,3594
3737,3672
1431,1205
1187,1187
3140,3277
3304,3026
406,559
2175,2344
1883,1205
888,729
2819,3277
874,873
3298,3277
2017,2344
1013,1070
162,137
2591,2353
4016,4007
483,559
2200,2353
2724,2775
3164,1205
120,200
2613,2353
3061,2685
3045,3026
2837,3026
2581,2344
2352,2353
3328,3277
2281,1961
1369,1205
3602,3726
601,559
1623,1205
2361,2371
1710,1205
2332,2344
2059,2353
1688,1205
2653,2344
1755,1115
1750,1205
3067,3277
1228,1070
306,218
3323,3107
2080,2371
282,137
1132,1205
360,559
177,227
3202,3026
3653,3923
52,137
123,200
3374,3277
2507,2353
1608,1205
2641,2344
2518,2344
1481,1070
2132,2344
720,774
3533,3968
770,774
2824,2721
3569,3591
2917,3026
219,95
2829,2775
362,559
862,3968
305,137
1066,1824
2972,2703
1417,1115
3655,3920
3541,3917
671,559
1290,1205
3380,3277
1981,2344
966,1205
694,774
280,200
587,559
922,1205
1133,1205
3846,3672
117,200
2297,2640
446,559
1795,1205
245,110
3337,3107
2930,2930
1205,1205
3685,3753
3624,3905
1730,1205
3713,3753
163,200
3930,3672
2321,2344
1117,1205
2151,2344
2497,2371
209,200
3853,3672
3946,3690
348,559
1123,1205
2079,2344
1911,1205
1545,559
3220,3026
2054,2344
3274,3277
1933,2371
2412,2371
3549,3905
635,577
171,1205
3137,3026
2005,2353
2030,2353
1268,1070
3435,3026
1418,1070
2527,2344
679,678
1483,1205
1651,1205
1207,1205
543,559
288,200
2629,2344
3810,3591
2452,2344
3416,3277
981,1115
2948,3026
299,92
3230,3026
1769,1205
3029,3026
2906,3026
539,559
3575,3672
332,200
1865,1205
2893,3107
2586,2353
1139,1070
1809,1205
3357,3277
3400,3026
1092,1205
2644,2371
2425,2344
3186,3277
2696,3107
1988,2401
3938,3968
1294,1142
1070,1070
2194,2344
1265,1205
2053,2344
532,559
3360,3277
2672,3277
118,200
3022,3026
1681,1070
897,1205
858,881
3539,3690
1959,2344
1196,1205
2749,3026
738,774
1365,1205
1216,1097
1930,2371
1622,1205
2818,3277
3090,3026
3228,3026
2561,2353
2113,2051
1919,2640
3378,3277
28,137
1935,2640
3148,3277
2809,3026
2245,1961
633,678
958,1097
2312,2344
1870,559
3105,3053
3196,3107
106,200
3785,3672
3664,3920
2689,3026
3855,3591
3338,3376
3183,3026
3447,3905
2137,2344
435,424
274,200
1293,1205
2710,3026
3511,3591
3796,3968
3345,3277
699,774
2008,2371
3873,3968
3885,3672
3013,3277
1459,1115
3132,3277
1288,1205
3579,3708
3172,3277
1642,1205
2679,3026
891,774
3552,3968
2889,2703
1079,1205
3474,3726
3576,3672
1209,1205
1095,559
3921,3753
